Age,Gender,EducationLevel,ExperienceYears,JobTitle,City,Industry,Department,Salary
56,Male,High School,32,Manager,Austin,Healthcare,Finance,110732.64
31,Female,Bachelor,13,Sales Executive,Boston,Retail,Human Resources,84742.57
49,Male,PhD,18,Sales Executive,Boston,Healthcare,Sales,115123.62
55,Female,High School,4,Manager,Austin,Tech,Finance,84742.56
35,Male,High School,30,Manager,Seattle,Finance,Sales,111347.63
51,Male,Bachelor,17,Sales Executive,Austin,Retail,Sales,89830.76
36,Male,PhD,30,Engineer,New York,Finance,Finance,139911.12
30,Female,High School,29,Engineer,Austin,Healthcare,Human Resources,97207.36
52,Male,Bachelor,20,Sales Executive,Austin,Education,Engineering,107765.79
22,Male,High School,29,Engineer,Boston,Retail,Human Resources,87082.09
44,Female,High School,3,Manager,Seattle,Healthcare,Marketing,74099.94
43,Male,High School,4,Manager,Austin,Retail,Marketing,78896.76
22,Male,PhD,9,Engineer,San Francisco,Education,Engineering,96763.34
58,Male,Master,26,Manager,Boston,Tech,Marketing,120015.82
51,Male,Master,15,Data Scientist,Boston,Tech,Sales,116320.35
46,Male,PhD,29,Manager,Austin,Tech,Marketing,117939.44
49,Male,PhD,12,Sales Executive,San Francisco,Education,Finance,116406.19
23,Male,Bachelor,20,Analyst,Austin,Finance,Sales,93792.58
34,Female,High School,14,Engineer,San Francisco,Education,Human Resources,99788.5
45,Male,PhD,19,Engineer,Boston,Education,Engineering,112633.13
21,Female,Bachelor,19,Manager,San Francisco,Healthcare,Finance,107056.37
23,Male,Master,4,Manager,Austin,Tech,Finance,74505.47
46,Female,Master,31,Analyst,New York,Retail,Engineering,123205.37
38,Female,Master,5,Analyst,New York,Finance,Marketing,104457.73
29,Male,Master,29,Sales Executive,San Francisco,Retail,Engineering,112755.23
58,Female,Bachelor,25,Data Scientist,Austin,Healthcare,Engineering,106821.45
43,Male,High School,12,Sales Executive,Seattle,Healthcare,Marketing,88064.13
41,Female,Bachelor,28,Engineer,New York,Finance,Human Resources,122045.12
21,Female,High School,4,Manager,Boston,Retail,Engineering,73399.48
41,Female,Master,24,Sales Executive,Austin,Finance,Marketing,118628.91
47,Female,PhD,12,Manager,Austin,Finance,Finance,107069.05
26,Male,PhD,23,Manager,New York,Tech,Engineering,114715.24
56,Male,PhD,30,Sales Executive,Seattle,Retail,Engineering,125734.97
48,Female,High School,19,Sales Executive,Boston,Tech,Human Resources,106284.79
37,Female,Master,7,Analyst,Seattle,Tech,Human Resources,98443.09
23,Male,Bachelor,8,Data Scientist,Boston,Tech,Finance,84180.82
32,Female,PhD,20,Analyst,New York,Education,Human Resources,111795.99
59,Female,High School,19,Data Scientist,Austin,Healthcare,Finance,92599.43
32,Male,PhD,14,Sales Executive,Boston,Healthcare,Engineering,97449.01
22,Female,Bachelor,25,Data Scientist,Austin,Education,Marketing,95555.64
42,Female,Master,10,Engineer,San Francisco,Finance,Human Resources,110540.73
43,Female,Bachelor,10,Analyst,San Francisco,Retail,Finance,91121.97
50,Male,Master,26,Analyst,New York,Retail,Human Resources,122843.7
25,Female,Master,29,Analyst,New York,Retail,Human Resources,107526.5
29,Female,Master,18,Manager,New York,Tech,Sales,103525.56
41,Male,PhD,33,Manager,San Francisco,Retail,Engineering,124105.05
31,Male,Bachelor,22,Sales Executive,Boston,Retail,Human Resources,88140.85
25,Male,PhD,0,Sales Executive,Seattle,Retail,Marketing,75267.05
55,Male,Bachelor,2,Manager,New York,Healthcare,Sales,96793.71
47,Male,High School,2,Analyst,Seattle,Education,Finance,83719.02
22,Female,High School,27,Manager,Seattle,Finance,Finance,99334.7
44,Female,Bachelor,13,Data Scientist,San Francisco,Education,Marketing,103396.01
51,Female,Bachelor,29,Analyst,Boston,Retail,Marketing,111053.12
53,Female,Bachelor,4,Manager,San Francisco,Finance,Engineering,99236.91
59,Female,Bachelor,14,Sales Executive,New York,Finance,Marketing,116049.83
50,Male,Master,13,Manager,San Francisco,Education,Finance,116173.08
57,Male,PhD,13,Engineer,San Francisco,Education,Engineering,121934.94
48,Male,Master,7,Manager,San Francisco,Education,Marketing,109878.86
51,Male,PhD,7,Analyst,New York,Education,Marketing,112909.77
31,Female,PhD,18,Manager,New York,Tech,Finance,105274.13
43,Male,PhD,31,Sales Executive,San Francisco,Healthcare,Engineering,132248.07
22,Female,Master,30,Data Scientist,San Francisco,Healthcare,Sales,124020.32
47,Female,Bachelor,28,Engineer,Seattle,Retail,Sales,107024.43
55,Male,Master,10,Analyst,Boston,Tech,Engineering,106752.56
22,Female,Master,12,Sales Executive,Seattle,Finance,Marketing,100168.26
59,Male,PhD,26,Engineer,Boston,Education,Marketing,121541.48
57,Male,High School,18,Manager,Boston,Retail,Engineering,95842.36
41,Male,High School,25,Engineer,San Francisco,Finance,Sales,116514.17
25,Male,Master,8,Data Scientist,Seattle,Healthcare,Human Resources,78852.42
41,Male,PhD,27,Engineer,Boston,Finance,Finance,126391.68
49,Female,Master,31,Engineer,Boston,Education,Engineering,121401.93
40,Female,Master,2,Manager,New York,Education,Human Resources,86779.8
58,Female,Bachelor,31,Manager,Boston,Healthcare,Finance,122464.16
40,Male,PhD,4,Analyst,San Francisco,Education,Human Resources,101010.46
45,Female,High School,7,Manager,Austin,Tech,Human Resources,84116.12
22,Female,High School,13,Engineer,New York,Retail,Finance,89222.22
52,Female,High School,2,Data Scientist,Austin,Healthcare,Human Resources,81430.41
46,Male,Master,23,Manager,San Francisco,Healthcare,Sales,124529.95
26,Male,PhD,12,Analyst,Austin,Finance,Engineering,110189.61
23,Female,Bachelor,28,Analyst,Boston,Healthcare,Sales,99963.14
53,Female,High School,7,Engineer,Austin,Retail,Sales,84563.85
21,Female,PhD,30,Manager,Seattle,Tech,Finance,109843.94
25,Female,High School,25,Manager,San Francisco,Finance,Finance,116428.76
33,Male,Bachelor,17,Analyst,Seattle,Retail,Finance,83976.08
39,Female,PhD,17,Manager,Austin,Healthcare,Human Resources,102825.75
32,Female,Master,6,Engineer,Seattle,Education,Human Resources,81194.28
45,Female,Master,15,Data Scientist,New York,Education,Engineering,102282.17
55,Male,High School,32,Engineer,Austin,Retail,Human Resources,96868.35
32,Male,High School,2,Manager,Seattle,Tech,Engineering,77037.24
50,Female,PhD,3,Engineer,Boston,Education,Sales,94815.78
25,Male,Bachelor,3,Sales Executive,Austin,Retail,Engineering,67141.86
54,Male,High School,8,Sales Executive,New York,Finance,Engineering,104352.46
42,Male,PhD,16,Manager,Boston,Healthcare,Finance,102670.66
59,Female,Bachelor,16,Manager,Austin,Tech,Human Resources,103534.93
33,Male,High School,32,Data Scientist,Boston,Tech,Marketing,99566.62
23,Female,High School,19,Engineer,Austin,Finance,Marketing,88202.01
40,Male,PhD,13,Data Scientist,Austin,Tech,Finance,110490.99
51,Male,High School,21,Manager,San Francisco,Retail,Sales,106810.44
25,Female,Master,26,Manager,Seattle,Tech,Sales,99762.26
44,Female,Bachelor,2,Analyst,Austin,Tech,Sales,81549.19
53,Male,Bachelor,23,Data Scientist,New York,Tech,Engineering,127341.96
28,Male,Master,29,Manager,Seattle,Retail,Human Resources,100754.09
44,Female,PhD,7,Sales Executive,San Francisco,Healthcare,Sales,104250.6
40,Male,Master,21,Analyst,Seattle,Education,Marketing,93871.75
36,Female,Master,24,Engineer,Seattle,Tech,Engineering,106974.02
32,Female,Bachelor,9,Analyst,Austin,Finance,Sales,94066.0
33,Female,PhD,28,Engineer,New York,Finance,Sales,131705.11
59,Male,High School,0,Sales Executive,Austin,Retail,Human Resources,82989.08
45,Male,Master,20,Engineer,New York,Healthcare,Human Resources,118639.35
52,Female,Master,23,Data Scientist,New York,Tech,Engineering,124056.11
44,Male,PhD,8,Engineer,Boston,Retail,Marketing,84796.89
29,Female,Master,25,Engineer,Austin,Education,Finance,106424.24
43,Male,PhD,8,Analyst,San Francisco,Healthcare,Marketing,105216.09
33,Male,High School,19,Sales Executive,Seattle,Healthcare,Human Resources,102053.03
52,Male,PhD,34,Engineer,Boston,Retail,Human Resources,124165.85
35,Male,High School,8,Data Scientist,San Francisco,Finance,Finance,96872.93
56,Female,PhD,21,Analyst,Austin,Healthcare,Marketing,114335.9
25,Male,Master,0,Sales Executive,New York,Finance,Marketing,92568.54
42,Female,High School,4,Sales Executive,Austin,Healthcare,Finance,71146.07
36,Male,Master,8,Manager,Austin,Healthcare,Human Resources,84575.89
30,Female,High School,18,Data Scientist,Boston,Healthcare,Engineering,95672.47
44,Male,PhD,7,Analyst,San Francisco,Education,Marketing,115705.18
38,Female,PhD,31,Analyst,Boston,Finance,Sales,124473.88
38,Male,PhD,12,Data Scientist,San Francisco,Education,Marketing,112667.7
27,Female,Bachelor,19,Sales Executive,Boston,Finance,Marketing,99882.9
24,Male,Bachelor,29,Engineer,Seattle,Education,Marketing,100510.56
46,Male,High School,9,Data Scientist,New York,Education,Human Resources,87512.78
25,Male,Bachelor,30,Analyst,New York,Education,Sales,111155.62
36,Female,PhD,24,Data Scientist,New York,Retail,Marketing,114333.65
55,Female,Bachelor,28,Sales Executive,Seattle,Education,Engineering,110038.52
46,Male,Bachelor,23,Manager,Seattle,Healthcare,Sales,105813.52
38,Female,Master,20,Manager,New York,Tech,Finance,121222.02
49,Male,High School,8,Engineer,New York,Education,Engineering,92027.55
43,Male,High School,1,Engineer,San Francisco,Tech,Finance,93924.91
34,Male,High School,3,Sales Executive,San Francisco,Tech,Marketing,90449.44
35,Female,Bachelor,7,Engineer,Austin,Healthcare,Human Resources,82971.05
53,Female,PhD,31,Manager,Boston,Tech,Marketing,138590.01
45,Male,Master,13,Sales Executive,San Francisco,Tech,Marketing,119661.67
41,Female,High School,12,Sales Executive,San Francisco,Tech,Finance,95699.48
37,Female,Bachelor,20,Sales Executive,San Francisco,Finance,Marketing,121243.26
43,Male,PhD,23,Data Scientist,San Francisco,Education,Engineering,132560.98
37,Male,Master,17,Engineer,Seattle,Education,Human Resources,96336.16
34,Female,Master,25,Analyst,Austin,Tech,Finance,111273.5
49,Male,High School,31,Manager,San Francisco,Healthcare,Sales,109674.31
40,Male,High School,32,Engineer,Boston,Finance,Marketing,112169.32
50,Female,PhD,30,Manager,San Francisco,Healthcare,Finance,149974.61
39,Female,Bachelor,17,Engineer,Seattle,Healthcare,Marketing,100316.3
59,Female,PhD,34,Analyst,New York,Tech,Marketing,144591.21
33,Male,High School,11,Manager,New York,Retail,Finance,94703.14
38,Male,PhD,24,Analyst,Austin,Tech,Engineering,107446.32
43,Female,Bachelor,30,Manager,New York,Retail,Sales,120846.05
53,Female,Master,9,Data Scientist,San Francisco,Finance,Marketing,116212.5
59,Male,Master,33,Data Scientist,Seattle,Retail,Engineering,122973.23
38,Female,Master,2,Manager,Austin,Tech,Marketing,77875.75
29,Female,Master,7,Manager,San Francisco,Tech,Marketing,99581.93
53,Male,High School,31,Analyst,New York,Healthcare,Engineering,127118.27
52,Male,High School,28,Sales Executive,Boston,Tech,Marketing,111447.04
37,Female,Bachelor,21,Manager,San Francisco,Tech,Sales,116965.38
39,Female,Bachelor,19,Engineer,Boston,Education,Finance,96066.26
47,Male,Bachelor,5,Engineer,Boston,Education,Engineering,90653.3
26,Male,Bachelor,28,Engineer,Austin,Healthcare,Human Resources,102723.97
55,Male,PhD,16,Data Scientist,Seattle,Retail,Marketing,105109.57
57,Male,Bachelor,30,Analyst,New York,Retail,Finance,117173.04
54,Female,Master,33,Data Scientist,New York,Education,Sales,127988.86
40,Male,Master,3,Engineer,San Francisco,Finance,Sales,105879.82
45,Male,Master,1,Manager,New York,Education,Human Resources,83379.91
24,Female,PhD,11,Engineer,Austin,Finance,Sales,99674.67
30,Female,Bachelor,34,Manager,New York,Retail,Finance,113908.18
30,Female,Master,5,Analyst,San Francisco,Education,Human Resources,86016.62
44,Male,Master,7,Sales Executive,New York,Tech,Engineering,108194.8
41,Female,Master,20,Manager,Seattle,Finance,Human Resources,110501.14
31,Male,Master,34,Data Scientist,Boston,Finance,Engineering,126141.4
47,Male,High School,14,Engineer,Boston,Finance,Sales,101259.0
36,Female,Bachelor,6,Engineer,Boston,Retail,Finance,83630.26
46,Male,Bachelor,14,Engineer,Seattle,Healthcare,Marketing,97585.84
50,Female,PhD,5,Manager,Austin,Tech,Human Resources,104389.33
36,Female,High School,16,Analyst,San Francisco,Education,Sales,99009.52
27,Male,PhD,3,Manager,Seattle,Finance,Finance,97269.96
36,Male,Master,21,Data Scientist,San Francisco,Retail,Marketing,119123.93
55,Male,PhD,31,Engineer,Austin,Finance,Human Resources,133089.93
36,Female,Master,21,Manager,Seattle,Education,Finance,99682.94
32,Female,Master,26,Engineer,New York,Tech,Sales,119813.09
55,Female,Bachelor,14,Data Scientist,Austin,Finance,Human Resources,96196.51
41,Male,Bachelor,21,Sales Executive,Boston,Retail,Human Resources,95129.48
56,Female,Bachelor,27,Sales Executive,Seattle,Retail,Engineering,105454.4
37,Female,Bachelor,8,Sales Executive,Austin,Healthcare,Engineering,87260.8
52,Female,Bachelor,33,Engineer,Austin,Retail,Human Resources,112750.56
26,Male,High School,8,Manager,Seattle,Healthcare,Finance,82340.58
44,Male,Bachelor,14,Engineer,Boston,Tech,Sales,107040.72
47,Male,PhD,19,Analyst,Boston,Education,Marketing,102694.48
40,Female,Master,7,Manager,Austin,Healthcare,Engineering,81567.16
45,Female,Bachelor,27,Data Scientist,San Francisco,Finance,Sales,129693.24
22,Male,High School,18,Sales Executive,Austin,Finance,Human Resources,81265.3
29,Male,PhD,15,Manager,Seattle,Education,Sales,86638.8
48,Female,PhD,10,Manager,Seattle,Retail,Sales,95310.25
58,Female,Master,7,Sales Executive,Seattle,Finance,Sales,97574.84
23,Female,PhD,32,Data Scientist,Boston,Healthcare,Human Resources,111361.71
40,Male,PhD,9,Engineer,New York,Education,Engineering,107557.0
26,Male,PhD,17,Engineer,Seattle,Finance,Marketing,104569.92
59,Male,PhD,34,Manager,Seattle,Retail,Finance,135988.64
53,Male,High School,2,Sales Executive,San Francisco,Retail,Engineering,88659.21
21,Female,Master,26,Analyst,San Francisco,Finance,Marketing,124265.56
57,Female,Bachelor,27,Data Scientist,Austin,Education,Human Resources,107852.78
26,Female,PhD,5,Engineer,Austin,Tech,Marketing,86919.62
54,Male,High School,13,Data Scientist,Austin,Finance,Human Resources,98038.66
35,Male,Master,6,Data Scientist,Seattle,Retail,Marketing,86280.82
46,Female,Bachelor,9,Data Scientist,San Francisco,Tech,Engineering,110622.33
34,Male,Master,14,Sales Executive,Austin,Education,Human Resources,101307.44
27,Male,High School,30,Sales Executive,San Francisco,Retail,Sales,106574.37
51,Female,High School,28,Sales Executive,Seattle,Education,Human Resources,108239.23
44,Male,High School,16,Manager,Seattle,Finance,Human Resources,94866.09
51,Male,PhD,28,Sales Executive,Austin,Education,Marketing,121938.39
49,Female,High School,14,Manager,Seattle,Retail,Human Resources,88626.17
52,Female,Bachelor,25,Engineer,Seattle,Finance,Marketing,104688.63
37,Female,PhD,11,Engineer,San Francisco,Retail,Engineering,103156.08
34,Male,Master,24,Engineer,New York,Retail,Human Resources,98631.59
56,Female,Bachelor,4,Engineer,Boston,Tech,Sales,93308.06
44,Female,PhD,3,Engineer,Austin,Healthcare,Sales,94532.91
47,Male,High School,30,Sales Executive,New York,Education,Engineering,112006.25
45,Male,Master,2,Analyst,Austin,Education,Sales,87580.36
52,Female,High School,2,Sales Executive,New York,Tech,Marketing,81262.63
38,Female,Bachelor,25,Analyst,Seattle,Education,Human Resources,105791.55
38,Male,Bachelor,16,Sales Executive,Austin,Tech,Finance,96227.91
57,Male,PhD,9,Engineer,New York,Education,Human Resources,106175.03
46,Male,Bachelor,1,Data Scientist,Boston,Education,Human Resources,83875.32
29,Female,Master,23,Analyst,Seattle,Retail,Finance,108455.13
55,Male,PhD,10,Data Scientist,Austin,Tech,Sales,114826.15
28,Female,Master,23,Engineer,Austin,Education,Sales,105387.83
40,Female,High School,34,Analyst,New York,Healthcare,Human Resources,115935.5
42,Female,Master,22,Data Scientist,Austin,Tech,Sales,113682.33
39,Male,Master,31,Sales Executive,Seattle,Tech,Marketing,124051.13
50,Male,Bachelor,22,Engineer,San Francisco,Tech,Marketing,116780.56
48,Female,High School,33,Sales Executive,New York,Retail,Finance,121453.3
55,Female,Bachelor,18,Sales Executive,Boston,Tech,Human Resources,115820.8
31,Male,High School,1,Engineer,Austin,Retail,Marketing,61135.78
51,Female,High School,1,Analyst,Seattle,Healthcare,Engineering,81967.34
59,Male,Master,14,Manager,Austin,Finance,Sales,120290.97
56,Female,Bachelor,20,Manager,Boston,Retail,Human Resources,105710.17
50,Male,Master,34,Engineer,Seattle,Education,Marketing,125417.03
43,Female,Master,4,Manager,Boston,Tech,Finance,93142.81
39,Female,Master,26,Data Scientist,Seattle,Finance,Marketing,112025.23
32,Female,High School,23,Analyst,San Francisco,Retail,Engineering,96004.6
35,Male,Bachelor,6,Sales Executive,Seattle,Education,Marketing,79093.69
51,Male,Bachelor,5,Sales Executive,Boston,Finance,Human Resources,102691.55
57,Male,Master,32,Engineer,New York,Healthcare,Finance,124713.85
57,Female,High School,16,Sales Executive,San Francisco,Retail,Finance,117131.22
35,Female,Bachelor,29,Data Scientist,Austin,Retail,Engineering,104838.88
49,Male,PhD,7,Data Scientist,San Francisco,Healthcare,Human Resources,117069.01
46,Male,Bachelor,6,Engineer,San Francisco,Retail,Engineering,101078.92
22,Male,Master,5,Sales Executive,Austin,Tech,Engineering,77761.58
40,Female,PhD,3,Manager,Seattle,Retail,Engineering,80620.72
35,Male,High School,0,Manager,San Francisco,Tech,Marketing,89549.22
24,Male,PhD,14,Analyst,San Francisco,Retail,Sales,109220.76
42,Female,PhD,30,Engineer,New York,Education,Marketing,123531.01
58,Male,Master,24,Analyst,New York,Education,Human Resources,118279.12
43,Male,Bachelor,32,Manager,Boston,Finance,Engineering,120790.01
46,Male,High School,34,Manager,Austin,Education,Engineering,109405.73
31,Male,PhD,4,Manager,Seattle,Healthcare,Sales,92509.72
48,Male,Master,4,Analyst,Seattle,Finance,Finance,109050.06
22,Female,Bachelor,16,Engineer,Boston,Education,Engineering,89231.72
28,Male,PhD,13,Data Scientist,Seattle,Tech,Marketing,94834.71
49,Male,Master,28,Data Scientist,Seattle,Retail,Engineering,111013.08
31,Male,Master,7,Manager,New York,Education,Human Resources,87263.94
57,Male,Master,33,Engineer,Seattle,Tech,Sales,134034.29
38,Female,High School,0,Engineer,Seattle,Finance,Finance,75424.06
34,Male,Bachelor,28,Sales Executive,Boston,Retail,Human Resources,100172.4
30,Female,PhD,28,Sales Executive,Boston,Education,Marketing,115407.14
55,Male,Bachelor,4,Analyst,San Francisco,Finance,Human Resources,119476.48
29,Male,Bachelor,31,Sales Executive,Seattle,Education,Engineering,116780.95
55,Male,PhD,23,Analyst,Seattle,Finance,Sales,120798.14
31,Female,Bachelor,18,Data Scientist,Seattle,Education,Engineering,93688.0
32,Male,High School,11,Manager,New York,Tech,Sales,91884.96
23,Male,PhD,0,Engineer,Seattle,Healthcare,Marketing,80253.52
59,Male,PhD,6,Data Scientist,New York,Tech,Human Resources,114085.61
34,Male,Master,16,Data Scientist,San Francisco,Retail,Sales,99826.65
48,Male,Bachelor,33,Analyst,Austin,Education,Human Resources,120333.99
31,Female,PhD,6,Manager,Seattle,Healthcare,Sales,81095.31
59,Male,PhD,16,Analyst,Boston,Healthcare,Engineering,117761.95
45,Female,High School,2,Data Scientist,Boston,Retail,Sales,84986.87
41,Female,Master,28,Engineer,Seattle,Retail,Sales,109635.42
30,Female,PhD,21,Sales Executive,New York,Healthcare,Finance,110648.54
35,Male,High School,28,Analyst,Boston,Retail,Marketing,95351.28
39,Female,PhD,4,Data Scientist,Boston,Retail,Engineering,95896.55
42,Male,PhD,29,Sales Executive,San Francisco,Education,Engineering,128471.16
41,Female,PhD,22,Sales Executive,San Francisco,Tech,Human Resources,127339.79
52,Male,High School,20,Data Scientist,San Francisco,Finance,Sales,124111.01
43,Male,Bachelor,25,Manager,Boston,Healthcare,Sales,114150.96
33,Male,PhD,20,Data Scientist,Boston,Finance,Sales,113709.51
25,Male,PhD,19,Engineer,Seattle,Healthcare,Engineering,94671.77
24,Male,Bachelor,22,Sales Executive,Seattle,Healthcare,Finance,88985.68
48,Female,PhD,3,Engineer,New York,Tech,Human Resources,113904.96
34,Male,Master,20,Analyst,Boston,Healthcare,Sales,105342.39
28,Female,PhD,20,Sales Executive,Seattle,Healthcare,Finance,97754.06
29,Male,Master,0,Manager,Seattle,Tech,Marketing,76833.19
55,Male,Bachelor,14,Data Scientist,San Francisco,Retail,Engineering,115322.55
57,Male,High School,16,Analyst,San Francisco,Finance,Marketing,119934.1
41,Male,Bachelor,13,Engineer,San Francisco,Healthcare,Engineering,98126.28
38,Male,PhD,18,Analyst,Austin,Tech,Human Resources,101489.27
53,Male,Master,33,Manager,Seattle,Healthcare,Marketing,130264.34
28,Male,High School,5,Data Scientist,San Francisco,Tech,Human Resources,86160.84
37,Male,PhD,5,Analyst,San Francisco,Finance,Human Resources,123973.99
51,Male,High School,4,Engineer,Boston,Education,Human Resources,94077.27
54,Female,High School,6,Analyst,San Francisco,Retail,Marketing,103447.78
26,Female,PhD,32,Data Scientist,Boston,Education,Marketing,117491.0
42,Female,Bachelor,12,Analyst,New York,Tech,Marketing,108165.22
34,Male,PhD,0,Engineer,San Francisco,Healthcare,Sales,99720.96
23,Female,PhD,12,Data Scientist,Boston,Retail,Human Resources,91350.66
32,Male,Bachelor,26,Manager,San Francisco,Finance,Sales,115999.53
56,Male,Master,6,Manager,New York,Retail,Engineering,101777.03
32,Male,PhD,2,Sales Executive,San Francisco,Healthcare,Marketing,94657.22
22,Female,High School,24,Analyst,Boston,Education,Finance,90031.24
22,Female,PhD,32,Engineer,New York,Tech,Engineering,116944.71
35,Male,PhD,16,Analyst,New York,Education,Human Resources,104157.34
43,Male,High School,13,Data Scientist,New York,Retail,Human Resources,79725.53
49,Female,Bachelor,22,Sales Executive,Austin,Healthcare,Sales,100586.68
37,Female,Master,23,Engineer,Boston,Tech,Marketing,107901.41
52,Female,Master,28,Analyst,Austin,Healthcare,Marketing,115455.08
27,Female,High School,26,Engineer,New York,Healthcare,Engineering,108453.19
50,Female,Bachelor,22,Data Scientist,Austin,Retail,Engineering,99736.29
48,Female,PhD,30,Sales Executive,San Francisco,Education,Engineering,138640.48
34,Female,PhD,16,Engineer,Austin,Healthcare,Finance,105843.47
50,Female,PhD,2,Data Scientist,Seattle,Healthcare,Finance,104050.37
37,Female,PhD,4,Manager,New York,Healthcare,Human Resources,95970.17
52,Male,PhD,14,Engineer,New York,Tech,Human Resources,114090.36
26,Male,High School,5,Sales Executive,Boston,Healthcare,Human Resources,75417.55
44,Male,PhD,9,Engineer,San Francisco,Healthcare,Marketing,108788.3
26,Male,PhD,31,Engineer,Boston,Retail,Human Resources,110851.26
47,Female,Bachelor,22,Data Scientist,Austin,Healthcare,Sales,98752.35
38,Male,PhD,16,Analyst,Seattle,Healthcare,Engineering,98904.33
44,Male,Master,19,Analyst,Seattle,Retail,Marketing,102777.03
57,Male,High School,14,Engineer,Seattle,Tech,Finance,108825.58
44,Female,High School,21,Sales Executive,Seattle,Education,Engineering,93748.77
58,Female,High School,5,Sales Executive,San Francisco,Retail,Human Resources,98386.28
54,Female,Master,3,Data Scientist,Austin,Tech,Finance,95324.92
35,Male,PhD,22,Engineer,Seattle,Education,Finance,106327.59
31,Male,High School,18,Engineer,New York,Healthcare,Finance,103644.8
42,Male,Master,30,Analyst,Austin,Retail,Engineering,107616.9
44,Male,Bachelor,2,Data Scientist,San Francisco,Healthcare,Marketing,80806.05
21,Female,PhD,27,Manager,Seattle,Retail,Engineering,98113.36
38,Female,Master,2,Sales Executive,San Francisco,Education,Sales,96533.61
32,Male,PhD,13,Sales Executive,Seattle,Tech,Human Resources,100465.35
48,Male,Bachelor,17,Engineer,New York,Retail,Marketing,102852.12
27,Female,Master,26,Data Scientist,Austin,Tech,Marketing,101949.15
43,Male,PhD,9,Manager,New York,Healthcare,Human Resources,108929.91
41,Female,Master,14,Sales Executive,Seattle,Healthcare,Sales,109775.66
54,Female,High School,18,Data Scientist,Boston,Education,Finance,98368.52
31,Female,PhD,8,Manager,Austin,Education,Human Resources,99316.96
42,Male,Master,3,Engineer,San Francisco,Finance,Finance,111358.44
55,Female,High School,14,Analyst,Seattle,Finance,Human Resources,100148.39
49,Male,Bachelor,7,Sales Executive,New York,Education,Engineering,100834.61
